"Feature ID","Application Name","Type","T-Shirt Size","Option","Prioritised, Awaiting Analysis","Analysis Completed","Development Started","Systest Ready","Systest OK","In UAT","Ready For Release","In Production","Lead Time","Cycle Time","Development Cycle Time"
,,,,,,,,,,,,,,,
"A-102","Project A","Bug",,"18/01/2010",,,,,,,,,0,0,0
,,,,,,,,,,,,,,,
"A-105","Project A","Bug",,"20/01/2010",,,,,,,,,0,0,0
,,,,,,,,,,,,,,,
"A-108","Project A","MMF",,"22/01/2010",,,,,,,,,0,0,0
,,,,,,,,,,,,,,,
"A-109","Project A","MMF",,"22/01/2010",,,,,,,,,0,0,0
,,,,,,,,,,,,,,,
"A-127","Project A","MMF",,"08/02/2010",,,,,,,,,0,0,0
,,,,,,,,,,,,,,,
"A-112","Project A","Bug",,"08/02/2010",,,,,,,,,0,0,0
,,,,,,,,,,,,,,,
"A-115","Project A","Bug",,"18/02/2010",,,,,,,,,0,0,0
,,,,,,,,,,,,,,,
"A-129","Project A","MMF",,"02/03/2010","10/03/2011","10/03/2011","10/03/2011","24/03/2011","30/03/2011","30/03/2011","01/04/2011","01/04/2011",284,17,15
,,,,,,,,,,,,,,,
"A-125","Project A","MMF","M","04/03/2010",,,,,,,,,0,0,0
,,,,,,,,,,,,,,,
"A-131","Project A","Bug",,"05/03/2010",,,,,,,,,0,0,0
,,,,,,,,,,,,,,,
"A-134","Project A","MMF",,"29/03/2010",,,,,,,,,0,0,0
,,,,,,,,,,,,,,,
"A-135","Project A","MMF","S","29/03/2010","04/01/2011","07/01/2011","01/04/2011","11/04/2011","11/04/2011","13/04/2011","13/04/2011","19/04/2011",277,13,7
,,,,,,,,,,,,,,,
"A-142","Project A","MMF","M","30/03/2010","12/01/2011","11/02/2011","23/02/2011","28/02/2011","28/02/2011","28/02/2011","28/02/2011","03/03/2011",243,7,4
,,,,,,,,,,,,,,,
"A-145","Project A","Bug",,"06/04/2010",,,,,,,,,0,0,0
,,,,,,,,,,,,,,,
"A-149","Project A","MMF","S","15/04/2010",,,,,,,,"12/11/2010",152,0,0
,,,,,,,,,,,,,,,
"C-119","Project C","MMF","M","15/04/2010",,,,,,,,,0,0,0
,,,,,,,,,,,,,,,
"A-152","Project A","MMF",,"22/04/2010",,,,,,,,,0,0,0
,,,,,,,,,,,,,,,
"A-153","Project A","MMF","S","23/04/2010",,,,,,,,,0,0,0
,,,,,,,,,,,,,,,
"A-154","Project A","MMF",,"23/04/2010","17/05/2010",,,,,,,,0,0,0
,,,,,,,,,,,,,,,
"A-157","Project A","MMF",,"23/04/2010",,,,,,,,,0,0,0
,,,,,,,,,,,,,,,
"A-158","Project A","MMF",,"23/04/2010",,,,,,,,,0,0,0
,,,,,,,,,,,,,,,
"A-161","Project A","Bug",,"30/04/2010",,,,,,,,,0,0,0
,,,,,,,,,,,,,,,
"A-162","Project A","Bug",,"30/04/2010",,,,,,,,,0,0,0
,,,,,,,,,,,,,,,
"A-164","Project A","Bug",,"30/04/2010",,,,,,,,,0,0,0
,,,,,,,,,,,,,,,
"A-174","Project A","Bug",,"12/05/2010",,,,,,,,,0,0,0
,,,,,,,,,,,,,,,
"A-176","Project A","Bug",,"13/05/2010",,,,,,,,,0,0,0
,,,,,,,,,,,,,,,
"A-179","Project A","MMF",,"19/05/2010",,,,,,,,,0,0,0
,,,,,,,,,,,,,,,
"A-183","Project A","MMF","M","08/06/2010",,,,,,,,,0,0,0
,,,,,,,,,,,,,,,
"A-189","Project A","MMF",,"16/06/2010",,,,,,,,,0,0,0
,,,,,,,,,,,,,,,
"A-192","Project A","MMF",,"17/06/2010",,,,,,,,,0,0,0
,,,,,,,,,,,,,,,
"A-194","Project A","MMF",,"25/06/2010",,,,,,,,,0,0,0
,,,,,,,,,,,,,,,
"A-195","Project A","MMF",,"29/06/2010",,,,,,,,,0,0,0
,,,,,,,,,,,,,,,
"A-48","Project A","MMF",,"03/11/2009","27/01/2010","27/01/2010",,,,,,,0,0,0
,,,,,,,,,,,,,,,
"A-144","Project A","MMF","S","30/03/2010","30/03/2010","30/03/2010",,,,,,,0,0,0
,,,,,,,,,,,,,,,
"A-199","Project A","MMF","M","04/08/2010","04/08/2010","04/08/2010","31/08/2010","21/09/2010","21/09/2010","21/09/2010","21/09/2010","03/12/2010",88,69,16
,,,,,,,,,,,,,,,
"A-200","Project A","MMF","M","04/08/2010","04/08/2010","04/08/2010","21/09/2010","21/09/2010","21/09/2010","21/09/2010","22/09/2010","22/09/2010",36,2,1
,,,,,,,,,,,,,,,
"A-201","Project A","MMF","M","04/08/2010","04/08/2010","04/08/2010","22/09/2010","22/09/2010","22/09/2010","22/09/2010","22/09/2010","03/12/2010",88,53,1
,,,,,,,,,,,,,,,
"A-202","Project A","MMF","S","04/08/2010","04/08/2010","04/08/2010","17/09/2010","17/09/2010","22/09/2010","22/09/2010","22/09/2010","03/12/2010",88,56,4
,,,,,,,,,,,,,,,
"A-106","Project A","Bug",,"21/01/2010","25/02/2010","25/02/2010","05/03/2010",,"03/12/2010","03/12/2010","03/12/2010","03/12/2010",227,196,196
,,,,,,,,,,,,,,,
"A-170","Project A","MMF","S","05/05/2010","17/05/2010","17/05/2010","17/05/2010",,"03/12/2010","03/12/2010","03/12/2010","03/12/2010",153,145,145
,,,,,,,,,,,,,,,
"A-136","Project A","MMF",,"30/03/2010","06/04/2010","06/04/2010","06/04/2010","23/08/2010","03/12/2010","03/12/2010","03/12/2010","03/12/2010",179,174,174
,,,,,,,,,,,,,,,
"A-137","Project A","Bug",,"30/03/2010","30/03/2010","30/03/2010","30/03/2010","23/08/2010","03/12/2010","03/12/2010","03/12/2010","03/12/2010",179,179,179
,,,,,,,,,,,,,,,
"A-138","Project A","Bug",,"30/03/2010","30/03/2010","30/03/2010","30/03/2010",,,"06/04/2010","03/12/2010","03/12/2010",179,179,0
,,,,,,,,,,,,,,,
"A-155","Project A","MMF",,"23/04/2010","04/05/2010","04/05/2010","10/05/2010",,,"10/06/2010","03/12/2010","03/12/2010",161,150,0
,,,,,,,,,,,,,,,
"A-169","Project A","MMF",,"05/05/2010","10/06/2010","10/06/2010","10/06/2010",,,"10/06/2010","03/12/2010","03/12/2010",153,127,0
,,,,,,,,,,,,,,,
"A-175","Project A","Bug",,"13/05/2010","14/05/2010","14/05/2010","12/11/2010","03/12/2010","03/12/2010","03/12/2010","03/12/2010","03/12/2010",147,16,16
,,,,,,,,,,,,,,,
